State,District,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
Uttarakhand,Garhwal,756,196,425,420,328,135,0,0,296,5,0
Uttarakhand,Hardwar,4652,608,3178,2519,1320,807,3,56,1287,46,10
West Bengal,Jalpaiguri,170,156,0,0,0,0,5,9,2,1,5
West Bengal,Koch Bihar,4180,1411,2688,1645,1636,28,3,50,3042,1,4
West Bengal,Kolkata,55,46,0,0,0,0,3,6,3,3,4
Jharkhand,Palamu,11960,22,9926,9926,6198,1303,3,706,9986,0,14
Jharkhand,Paschimi Sighbhum,5505,4,5137,5137,4513,359,1,4,5137,13,1
Karnataka,Gulbarga,21817,5147,13890,12916,10391,2762,14,4,4541,836,0
Jammu & Kashmir,Kulgam,3797,298,2715,2661,2031,771,3,10,697,36,2
Gujarat,Surendranagar Dudhrej,19663,24,16650,16648,0,621,0,2368,16653,1,3
Gujarat,Tapi,4684,2,3473,3473,0,780,0,429,3474,0,0
Gujarat,The Dangs,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,Nainital,2952,1163,1680,1389,207,72,0,37,290,339,0
Uttarakhand,Pithoragarh,1766,417,1040,985,408,147,7,155,259,33,1
Uttarakhand,Rudraprayag,165,1,158,132,95,5,0,1,80,17,0
West Bengal,Malda,4084,1914,0,0,0,0,4,2166,3,0,7
West Bengal,Murshidabad,4040,2364,2,1,1,0,12,1662,8,6,12
West Bengal,Nadia,9407,8889,83,80,0,0,2,433,8747,2,1
Jharkhand,Purbi Singhbhum,21338,10,19017,19017,11794,2134,2,175,19017,25,5
Jharkhand,Ramgarh,14243,6,11981,11981,11937,591,3,1662,12005,0,0
Jharkhand,Ranchi,39755,22,33334,33334,31672,2515,3,3881,33335,1,8
Karnataka,Hassan,2464,40,2294,2275,2058,128,1,1,1775,65,0
Karnataka,Haveri,15149,1143,13359,13128,11395,589,6,52,11739,777,0
Jammu & Kashmir,Kupwara,1974,401,1461,1372,606,112,0,0,135,274,8
Gujarat,Vadodara,28953,17,25425,25406,48,174,0,3337,25096,3,2
Gujarat,Valsad,20828,8,20652,20652,0,115,0,53,20653,0,2
Uttarakhand,Tehri,414,26,328,324,133,52,0,8,197,3,87
Uttarakhand,Udhamsingh Nagar,4755,1416,2701,1489,1030,622,8,8,512,190,12
Uttarakhand,Uttarkashi,1032,87,932,882,732,11,0,2,556,67,8
West Bengal,North 24 Paraganas,51109,19348,16518,13099,3277,1878,15,13350,5578,9,3
West Bengal,Paschim Medinipur,525,361,0,0,0,0,6,158,7,5,7
West Bengal,Purba Medinipur,5073,3151,1415,1413,0,0,6,501,1622,1,4
Jharkhand,Sahibganj,9483,3,8116,8116,5808,958,0,406,8124,0,3
Jharkhand,Seraikela,7612,20,7306,7306,1338,78,1,207,7317,1,2
Jharkhand,Simdega,2139,0,2014,2014,1854,24,0,101,2014,3,0
Karnataka,Hubli-Dharwad,30576,184,28991,28906,26428,150,2,1249,18007,2514,0
Arunachal Pradesh,Anjaw,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Leh,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Pulwama,2547,156,2080,1540,175,303,4,4,826,179,6
West Bengal,Puruliya,346,324,0,0,0,0,0,22,0,0,1
West Bengal,South 24 Paragnas,20872,11504,35,2,0,0,10,9323,105,63,4
West Bengal,Uttar Dinajpur,496,310,0,0,0,0,8,178,19,2,7
Karnataka,Kodagu,624,8,570,570,480,46,0,0,494,19,0
Arunachal Pradesh,Changlang,134,1,132,132,132,1,0,0,132,1,0
Arunachal Pradesh,Dibang Valley,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Punch,1105,0,523,494,25,341,0,241,251,77,3
Jammu & Kashmir,Rajouri,2374,401,1638,1628,100,193,0,142,1074,220,6
Jammu & Kashmir,Ramban,682,0,337,337,207,233,1,111,272,3,15
Karnataka,Kolar,15685,2989,10377,10377,8163,2204,2,113,8447,867,0
Karnataka,Koppal,17329,1494,15029,13649,10008,801,3,2,3049,409,0
Arunachal Pradesh,East Kameng,152,123,29,0,0,0,0,0,151,0,0
Jammu & Kashmir,Reasi,694,2,446,446,161,18,0,228,321,24,0
Jammu & Kashmir,Samba,1319,43,1027,1027,575,27,0,222,769,30,13
Jammu & Kashmir,Shupiyan,660,0,547,371,350,111,0,2,97,102,0
Karnataka,Mandya,4264,79,3149,3134,2364,263,5,768,2832,87,0
Karnataka,Mysore,8417,25,7500,7485,7282,572,1,319,5485,1034,0
Karnataka,Raichur,31117,1469,25361,24907,10044,4273,12,2,6620,2418,0
Assam,Baksa,5,5,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,East Siang,77,0,76,72,72,0,0,1,75,0,0
Arunachal Pradesh,Karung Kumey,66,60,5,5,5,1,0,0,62,0,0
Arunachal Pradesh,Kra Dadi,1,1,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,Srinagar,24142,14720,7541,6793,834,1871,7,3,525,118,2
Jammu & Kashmir,Udhampur,1179,121,991,991,448,30,0,37,557,88,0
Karnataka,Ramanagara,5052,2,4448,4448,2936,259,0,343,3973,142,0
Karnataka,Shimoga,9368,40,7133,7054,5390,2087,1,107,4553,613,0
Assam,Barpeta Road,3375,3192,149,148,0,10,3,21,38,14,1
Arunachal Pradesh,Lohit,320,23,290,96,96,6,1,0,271,37,1
Arunachal Pradesh,Lower Dibang Valley,683,8,653,526,405,21,0,1,525,1,0
Karnataka,Tumkur,14954,127,9708,9694,7922,2149,0,2970,7501,449,0
Karnataka,Udupi,539,29,434,429,346,23,0,53,358,62,0
Assam,Bongaigaon,1201,297,878,285,0,15,0,11,52,17,1
Arunachal Pradesh,Lower Subansari,286,278,8,0,0,0,0,0,54,0,0
Karnataka,Uttara Kannada,9019,80,8178,7955,6756,511,0,250,5200,993,0
Karnataka,Yadgir,13543,3004,10280,9191,7285,166,10,83,2904,487,0
Assam,Cachar,2720,2562,154,7,0,0,1,3,0,0,0
Assam,Chairang,160,143,0,0,0,0,2,15,0,0,1
Assam,Darrang,601,407,159,110,0,0,1,34,48,38,0
Arunachal Pradesh,Papum Pare,123,1,103,10,10,19,0,0,87,1,0
Arunachal Pradesh,Siang,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,Tawang,104,12,92,92,91,0,0,0,92,0,0
Haryana,Ambala,7707,414,5170,5169,4774,1812,3,308,5160,3,1
Assam,Dhemaji,2092,1747,340,66,0,0,1,4,3,0,0
Arunachal Pradesh,Tirap,322,166,154,54,54,2,0,0,322,0,0
Arunachal Pradesh,Upper Siang,48,0,47,0,0,1,0,0,48,0,0
Haryana,Bhiwani,3353,323,1715,1711,1139,1310,4,1,1321,110,9
Haryana,Faridabad,18953,2558,14297,14297,13497,2075,15,8,10137,40,13
Assam,Dhubri,11037,9067,1142,246,0,1,5,822,369,342,2
Assam,Dibrugarh,3013,1755,1222,511,0,32,1,3,0,1,0
Arunachal Pradesh,Upper Subansari,111,0,111,111,111,0,0,0,111,0,0
Arunachal Pradesh,West Kameng,2,2,0,0,0,0,0,0,0,0,0
Haryana,Fatehabad,566,49,316,315,308,197,3,1,301,1,6
Assam,Dima Hassao,2632,1163,760,2,0,4,0,705,44,1,0
Arunachal Pradesh,West Siang,210,0,210,0,0,0,0,0,206,0,0
Haryana,Gurgaon,6283,222,5772,5687,5366,275,2,12,5642,27,2
Haryana,Hisar,8494,2336,2821,2798,1504,3248,3,86,2209,16,71
Haryana,Jhajjar,1922,109,1046,949,872,592,3,172,607,2,1
Assam,Goalpara,1479,986,448,0,0,1,1,43,317,0,0
Assam,Golaghat,65556,43051,318,171,1,6082,0,16105,67,20,0
Haryana,Jind,2375,136,1050,1045,1017,1182,3,4,760,72,5
Haryana,Kaithal,4024,246,2728,2713,2256,896,1,153,2029,19,1
Haryana,Karnal,10163,207,7364,7041,6558,2500,2,90,7007,212,2
Assam,Hailakandi,1710,1544,122,47,0,18,6,20,2,4,6
Assam,Jorhat,5923,4970,455,345,0,2,4,492,55,8,2
Haryana,Kurushetra,542,14,215,206,173,304,2,7,190,9,16
Haryana,Mahendragarh,2812,788,1414,1385,1181,595,6,9,914,104,8
Assam,Kamrup,384,327,0,0,0,0,2,55,0,0,2
Haryana,Mewat,2095,202,1146,1106,1059,699,3,45,843,2,10
Assam,Kamrup Metropolitian,11625,4844,6777,6777,1,0,3,1,282,83,27
Haryana,Palwal,4143,1422,1827,1398,1397,730,12,152,803,455,31
Haryana,Panchkula,8342,140,7887,7096,6821,269,36,10,7839,20,4
Assam,Karbi Anlong,70001,31098,1150,145,0,5574,11,32168,6,4,11
Assam,Karimganj,832,766,10,0,0,0,2,54,2,1,0
Haryana,Panipat,3723,554,3087,1988,990,49,3,30,1831,23,4
Haryana,Rewari,1032,170,733,729,716,106,5,18,461,4,3
Haryana,Rohtak,7034,43,3054,3035,2998,3461,0,476,2621,67,2
Assam,Kokrajhar,34,21,0,0,0,0,1,12,0,0,0
Haryana,Sirsa,508,28,128,127,125,352,0,0,129,1,4
Assam,Majuli,0,0,0,0,0,0,0,0,0,0,0
Assam,Marigaon,3693,954,0,0,0,0,4,2735,3,1,0
Assam,Nagaon,55566,17818,1936,591,41,2568,21,33223,471,15,7
Haryana,Sonipat,5857,226,3034,3009,2254,2562,3,32,2493,90,7
Haryana,Yamunanagar,4610,87,3027,3005,2723,886,1,609,2842,86,0
Assam,Nalbari,848,483,240,1,0,0,0,125,1,2,0
Assam,North Lakhimpur,2279,1468,788,305,0,1,3,19,45,3,4
Assam,Sibsagar,1982,1845,105,58,0,26,0,6,36,1,0
Assam,Sonitpur,1791,1333,8,0,0,0,2,448,2,0,17
Assam,Tinsukia,341,202,136,0,0,3,0,0,2,4,1
Assam,Udalguri,1163,411,87,86,0,0,1,664,98,0,0
Chandigarh,Chandigarh,6120,3,6117,6117,0,0,0,0,6117,0,2
Dadra & Nagar Haveli,Dadara and Nagar Haveli,1527,0,1039,1039,998,320,0,168,1040,0,0
Uttar Pradesh,Agra,183991,14372,22146,21332,16867,121133,135,26205,11067,3398,124
Uttar Pradesh,Aligarh,86747,5003,17469,16519,11472,49515,102,14658,4650,2086,50
Uttar Pradesh,Allahabad,63514,2036,25445,22859,18085,31903,78,4052,8727,4687,187
Uttar Pradesh,Ambedkar Nagar,29781,7234,14763,14043,12637,6291,99,1394,3185,4913,367
Uttar Pradesh,Amethi,13586,3928,3733,2974,2623,4572,37,1316,513,395,164
Uttar Pradesh,Amroha,83119,803,7412,7298,6073,59409,79,15416,6054,1660,422
Uttar Pradesh,Auraiya,39805,1016,7808,6379,5190,30768,54,159,1686,1957,120
Uttar Pradesh,Azamgarh,27853,2122,11056,10234,8551,13377,74,1224,4226,4759,122
Uttar Pradesh,Baghpat,10062,945,3416,3227,2321,5673,21,7,1001,772,10
Tripura,Dhalai,137,4,132,1,1,0,0,1,1,0,0
Uttar Pradesh,Bahraich,20883,3228,5987,4586,3500,11534,50,84,1283,1300,59
Uttar Pradesh,Ballia,38487,3297,11427,8276,6237,16928,54,6781,596,731,45
Tripura,Gomati,86,2,84,42,42,0,0,0,0,3,0
Tripura,Khowai,13,11,0,0,0,0,0,2,2,0,0
Tripura,North Tripura,11,8,0,0,0,1,0,2,0,0,0
Uttar Pradesh,Balrampur,13176,657,3864,3836,3397,8583,41,31,2098,1395,27
Uttar Pradesh,Banda,29102,1517,15162,14138,9156,11792,103,528,4853,1455,59
Tripura,Sipahijala,3,3,0,0,0,0,0,0,2,0,3
Tripura,South Tripura,77,75,0,0,0,0,0,2,0,0,0
Tripura,Unakoti,14,12,0,0,0,0,0,2,1,0,0
Uttar Pradesh,Bara Banki,28048,2894,11879,10003,8743,13078,55,142,2616,2201,531
Uttar Pradesh,Bareilly,64943,5651,18993,18780,16332,37265,111,2923,8551,2753,75
Tripura,West Tripura,68,64,0,0,0,0,1,3,1,0,0
Uttar Pradesh,Basti,15802,1944,5512,4735,3318,7885,31,430,1041,746,47
Uttar Pradesh,Bhadohi,58359,10838,7449,7334,5257,39007,58,1007,1127,2068,155
Uttar Pradesh,Bijnor,80611,531,8479,8473,6844,64377,40,7184,7924,163,110
Uttar Pradesh,Budaun,63329,4870,27308,25393,17599,30414,189,548,11530,5484,236
Uttar Pradesh,Bulandshahr,133466,3582,14036,11851,8633,107753,59,8036,5463,2336,94
Uttar Pradesh,Chandauli,13713,1233,5256,5013,4270,7125,17,82,854,475,29
Uttar Pradesh,Chitrakoot Dham (Karwi),10628,1346,5495,4849,1855,3766,12,9,1176,3355,9
Uttar Pradesh,Deoria,21904,1619,12209,11570,9734,7639,98,339,3937,3410,118
Uttar Pradesh,Etah,79096,1029,6526,5871,5079,57848,55,13638,1644,1054,55
Uttar Pradesh,Etawah,21500,2480,7026,5928,5353,11438,47,509,2470,1634,65
Uttar Pradesh,Faizabad,16969,1619,5977,5876,5251,8987,62,324,1422,936,83
Uttar Pradesh,Farrukhabad,40257,3185,11942,9786,6221,21606,51,3473,3010,779,45
Uttar Pradesh,Fatehpur,21109,718,13394,12505,10789,6460,42,495,2164,1589,92
Uttar Pradesh,Firozabad,123128,1867,14270,14133,9215,99292,96,7603,4686,2689,58
Uttar Pradesh,Gautam Buddha Nagar,10849,98,2101,1913,1455,8633,7,10,918,375,7
Uttar Pradesh,Ghaziabad,14464,337,10410,10193,8520,3498,32,187,8066,937,45
Uttar Pradesh,Ghazipur,33428,2390,11576,11095,9226,10016,78,9368,2236,1578,242
Uttar Pradesh,Gonda,11265,535,4320,2972,2133,6233,34,143,2154,991,82
Uttar Pradesh,Gorakhpur,30052,6954,14892,14010,12003,7699,80,427,8312,2876,134
Uttar Pradesh,Hamirpur,18682,881,11520,10831,7622,6065,82,134,3018,2745,228
Uttar Pradesh,Hapur,12932,844,6528,6484,4618,5475,32,53,4751,198,50
Uttar Pradesh,Hardoi,54162,5458,22097,21198,15970,24182,93,2332,7260,3155,1404
Uttar Pradesh,Hathras,61687,2044,12189,12132,9225,38453,59,8942,5896,2058,148
Uttar Pradesh,Jalaun,40987,622,15376,13483,7443,23409,78,1502,5027,2854,92
Uttar Pradesh,Jaunpur,31861,3353,7774,7163,5402,20363,51,320,2650,806,52
Uttar Pradesh,Jhansi,33698,4380,23194,22127,10105,5847,119,158,8659,2445,538
Uttar Pradesh,Kannauj,74705,1533,10134,8468,6955,59644,63,3331,5632,2237,260
Uttar Pradesh,Kanpur,35909,246,12781,12054,4142,20885,50,1947,4951,1765,21
Uttar Pradesh,Kanpur Dehat,34436,3423,9086,8151,6443,20538,38,1351,1850,1634,228
Uttar Pradesh,Kasganj,42316,3013,10265,9207,7782,26758,80,2200,5556,1466,239
Uttar Pradesh,Kaushambi,12588,1787,8621,8351,4634,1835,21,324,2104,1719,73
Tamil Nadu,Ariyalur,5282,503,4717,4262,1973,57,3,2,3856,181,0
Uttar Pradesh,Kheri,31394,2992,15197,14246,12584,12629,105,471,6780,2633,163
Tamil Nadu,Chennai,9220,5,6770,6770,6181,829,0,1616,5913,442,284
Tamil Nadu,Coimbatore,19867,941,18354,17965,11302,348,3,221,17602,58,7
Uttar Pradesh,Kushinagar,40706,19933,10614,8533,6517,9275,89,795,2934,1810,532
Uttar Pradesh,Lalitpur,15560,556,9443,9436,7120,5452,51,58,4388,1794,23
Tamil Nadu,Cuddalore,20543,1472,18350,16537,12185,612,1,108,13905,256,3
Tamil Nadu,Dharmapuri,9322,92,8845,8713,7384,377,2,6,6476,270,1
Uttar Pradesh,Lucknow,43034,1980,28399,27994,17485,12188,36,431,7391,6431,483
Uttar Pradesh,Maharajganj,18627,3296,8398,6823,5837,6135,45,753,2562,1473,351
Tamil Nadu,Dindigul,22492,1785,19334,18210,14358,1303,2,68,15624,377,2
Tamil Nadu,Erode,29287,1143,25858,23764,20976,694,5,1587,17259,143,1
Tamil Nadu,Kancheepuram,29622,661,27273,26758,16751,1408,8,272,16952,407,0
Sikkim,East District,438,0,433,420,390,4,0,1,305,1,0
Uttar Pradesh,Mahoba,19216,2179,10161,9529,8203,6502,42,332,1085,1327,300
Uttar Pradesh,Mainpuri,45728,2002,10411,10084,8853,32063,79,1173,4937,892,113
Tamil Nadu,Kanniyakumari,4474,127,3798,3643,3055,538,7,4,2963,39,27
Tamil Nadu,Karur,12469,811,11193,10809,9842,218,1,246,9223,96,0
Tamil Nadu,Krishnagiri,5729,111,4897,4883,4547,111,0,610,4176,28,1
Sikkim,North District,77,0,77,77,77,0,0,0,73,0,2
Sikkim,South District,294,0,292,292,278,2,0,0,250,4,0
Sikkim,West District,203,0,201,201,200,1,0,1,149,0,0
Uttar Pradesh,Mathura,75721,8008,10019,9424,8035,46313,94,11287,4749,1620,216
Uttar Pradesh,Mau,22306,2945,12645,10962,9490,6170,90,456,2384,2447,58
Tamil Nadu,Madurai,16577,586,12628,10514,5842,3352,0,11,11762,260,0
Tamil Nadu,Nagapattinam,12915,2310,10122,9680,7721,120,0,363,8289,207,3
Uttar Pradesh,Meerut,42238,6941,19246,18098,13522,15709,63,279,5302,2029,45
Uttar Pradesh,Mirzapur-cum-Vindhyachal,52055,2498,12306,11801,7079,36427,83,741,2360,2806,48
Tamil Nadu,Namakkal,16722,573,15357,14932,9977,340,2,450,14271,97,0
Tamil Nadu,Perambalur,2511,203,2140,1800,1358,21,0,147,1842,5,0
Tamil Nadu,Pudukkottai,6148,685,5317,5093,4055,130,5,11,5158,32,0
Uttar Pradesh,Moradabad,38539,1959,8230,8141,7020,26051,110,2189,3028,1107,115
Uttar Pradesh,Muzaffarnagar,17279,1424,7697,7692,6400,7778,47,333,6972,283,39
Tamil Nadu,Ramanathapuram,13294,1568,10714,7216,5924,1005,2,5,8278,131,2
Tamil Nadu,Salem,41362,6841,32145,27642,21239,1469,8,899,26758,833,2
Tamil Nadu,Sivaganga,7423,447,6346,5901,4131,548,5,77,5185,198,0
Uttar Pradesh,Pilibhit,16674,3592,8491,8110,3122,4529,44,18,1877,1425,37
Tamil Nadu,Thanjavur,13207,2638,9910,8810,6525,521,5,133,8143,247,9
Tamil Nadu,The Nilgiris,14437,1657,10663,9101,7750,2041,0,76,8481,104,2
Uttar Pradesh,Pratapgarh,23565,2387,9032,7242,5116,11821,26,299,1476,868,20
Tamil Nadu,Theni Allinagaram,16218,628,14502,13074,10294,962,6,120,12940,314,0
Tamil Nadu,Thiruvallur,15216,3416,10565,10036,5802,1168,2,65,7695,113,1
Tamil Nadu,Thiruvarur,7654,643,6418,6015,4750,177,3,413,5918,34,0
Uttar Pradesh,Rae Bareli,14040,1745,8639,8553,5078,3024,16,616,2656,1520,6
Uttar Pradesh,Rampur,31266,7076,4517,3214,2840,19151,96,426,1393,634,68
Tamil Nadu,Thoothukkudi,11888,947,10522,9060,6920,389,4,26,8839,95,7
Tamil Nadu,Tiruchirappalli,14824,1689,11980,11016,9488,703,14,438,11003,178,10
Tamil Nadu,Tirunelveli,43671,3712,37505,33537,28712,1611,6,837,34196,637,0
Uttar Pradesh,Saharanpur,13730,735,9367,9239,8729,3303,104,221,3786,1498,27
Uttar Pradesh,Sambhal,43492,1838,8035,7832,5890,33289,50,280,4224,1107,52
Tamil Nadu,Tiruppur,21362,622,19658,17389,12013,974,4,104,15083,183,6
Tamil Nadu,Tiruvannamalai,12840,855,11779,11608,8646,183,6,17,9697,210,2
Tamil Nadu,Vellore,30671,2691,25775,21438,15245,2161,5,39,19575,232,3
Uttar Pradesh,Sant Kabir Nagar,24531,1909,6655,5863,4965,15202,28,737,1440,1245,23
Uttar Pradesh,Shahjahanpur,25336,2896,15151,13296,10370,6264,78,947,6357,3379,142
Rajasthan,Ajmer,13493,124,10940,10831,10246,2413,3,13,9323,68,14
Tamil Nadu,Viluppuram,9342,675,7767,7451,6166,887,6,7,6995,25,5
Tamil Nadu,Virudhunagar,25558,697,23395,21524,19435,530,2,934,16192,449,0
Uttar Pradesh,Shamli,13343,754,6996,6762,6144,5294,41,258,4928,787,107
Uttar Pradesh,Siddharthnagar,15564,2899,8941,8137,3095,2912,34,778,2984,275,74
Rajasthan,Alwar,13347,33,10356,10356,8482,1407,5,1546,9570,51,16
Rajasthan,Banswara,3543,4,2844,2844,1532,687,5,3,2013,126,9
Uttar Pradesh,Sitapur,30659,6048,16164,13511,7416,7875,71,501,3843,5239,147
Uttar Pradesh,Sonbhadra,29974,1670,6273,5687,4312,18493,30,3508,1771,1180,90
Rajasthan,Baran,13601,642,10913,10887,8658,1753,5,288,6589,303,11
Rajasthan,Barmer,11564,240,10370,10320,5904,910,6,38,10062,10,27
Rajasthan,Bharatpur,22987,1351,19830,18828,11926,1648,5,153,14554,808,24
Uttar Pradesh,Srawasti,3067,926,1666,1666,324,457,13,5,390,566,15
Rajasthan,Bhilwara,14111,118,13050,11998,8838,914,7,22,6755,304,12
Uttar Pradesh,Sultanpur,5004,265,2889,2288,1724,1700,27,123,878,413,115
Rajasthan,Bikaner,17125,289,5292,5292,5172,11005,3,536,4905,1,9
Uttar Pradesh,Unnao,34204,3704,18772,17746,11874,11338,68,322,6420,3016,42
Uttar Pradesh,Varanasi,22716,1090,11046,11046,3330,10143,41,396,9080,804,40
Rajasthan,Bundi,14085,298,12109,11688,6879,1328,4,346,9774,437,9
Rajasthan,Chittaurgarh,9256,156,8162,8115,3838,725,0,213,7721,88,3
Rajasthan,Churu,17884,907,13758,13758,7532,3028,16,175,12383,367,15
Rajasthan,Dausa,9164,21,6334,6324,5038,2310,24,475,6022,35,420
Rajasthan,Dhaulpur,16296,2828,10795,9945,4638,2640,16,17,9268,187,18
Rajasthan,Dungarpur,3713,4,3264,3264,3119,80,2,363,3264,3,2
Rajasthan,Ganganagar,18511,11,13954,13954,8911,4537,3,6,13020,39,24
Rajasthan,Hanumangarh,25004,113,19397,19396,17229,1961,3,3530,18099,71,12
Rajasthan,Jaipur,36129,464,27618,27618,14275,5658,18,2371,27566,23,121
Rajasthan,Jaisalmer,2850,1062,1693,1497,976,90,3,2,1360,130,2
Rajasthan,Jalor,10373,361,9646,9120,5904,361,3,2,7598,123,19
Rajasthan,Jhalawar,7784,101,6900,6815,5586,766,3,14,5461,245,15
Rajasthan,Jhunjhunun,12308,223,10165,10103,5519,1498,9,413,9514,48,20
Rajasthan,Jodhpur,13880,942,9472,9384,3680,3435,13,18,7313,615,25
Rajasthan,Karauli,17558,6448,10404,10351,4368,681,10,15,9582,213,16
Rajasthan,Kota,32739,268,20492,20473,17737,10149,14,1816,10827,491,36
Rajasthan,Nagaur,20800,2463,16684,16369,11057,1620,12,21,15351,655,248
Rajasthan,Pali,22574,193,20137,19920,15447,2222,7,15,12696,224,20
Rajasthan,Pratapgarh,1790,16,1622,1622,638,77,1,74,1364,0,5
Rajasthan,Rajsamand,4181,229,3752,3442,3124,82,1,117,2623,51,3
Rajasthan,Sawai Madhopur,9523,18,9078,9078,4886,136,6,285,7805,120,14
Rajasthan,Sikar,12412,767,10066,9997,7878,775,9,795,8802,158,41
Rajasthan,Sirohi,4495,808,3429,3231,2195,257,1,0,1748,277,10
Rajasthan,Tonk,18921,3230,14510,10752,8310,1126,3,52,10035,70,10
Rajasthan,Udaipur,6871,488,5836,5527,4414,387,2,158,5017,70,5
Telangana,Adilabad,18650,7972,10672,10672,9775,0,0,6,10676,0,0
Telangana,Hyderabad,8834,5656,3177,3177,3161,0,1,0,3180,0,0
Telangana,Karimnagar,17542,6593,10949,10949,10596,0,0,0,10951,2,1
Telangana,Khammam,16430,5585,10843,10843,10254,0,2,0,10848,0,1
Telangana,Mahbubnagar,18124,7985,10138,10138,9890,0,1,0,10142,1,4
Punjab,Amritsar,11398,254,11002,11002,9451,126,0,16,9635,49,1
Telangana,Medak,13165,5991,7173,7173,7012,0,0,1,7174,0,10
Punjab,Barnala,2450,404,1196,1189,937,849,1,0,756,61,4
Punjab,Bathinda,14666,726,13218,11779,11129,469,5,248,12720,27,666
Punjab,Faridkot,3547,383,3160,1953,1942,4,0,0,2937,21,1
Telangana,Medchal,339,135,203,203,196,0,1,0,204,0,0
Telangana,Nagarkurnool,2680,925,1754,1754,1691,0,1,0,1755,1,0
Telangana,Nalgonda,11411,5735,5672,5672,5110,0,4,0,5675,1,3
Punjab,Fazilka,4003,256,2697,419,411,711,6,333,940,176,111
Punjab,Firozpur,6120,508,5545,5338,3663,44,1,22,5023,21,5
Punjab,Gurdaspur,8683,255,8270,8200,6237,155,1,2,4971,237,156
Telangana,Nirmal,7074,3871,3202,3202,3184,0,1,0,3206,1,0
Telangana,Nizamabad,13451,4413,9038,9038,8777,0,0,0,9039,0,2
Punjab,Hoshiarpur,3489,72,2848,2823,2790,560,4,5,1807,91,22
Punjab,Jalandhar,3276,27,3065,2676,2129,181,0,3,2399,40,0
Punjab,Kapurthala,1781,5,1686,1662,1626,31,0,59,750,493,3
Telangana,Rangareddy,8975,4534,4439,4439,4186,0,1,1,4447,2,2
Telangana,Siddipet,6275,1273,5001,5001,4794,0,1,0,5003,0,0
Telangana,Sircilla,7362,2628,4734,4734,4670,0,0,0,4734,0,0
Punjab,Ludhiana,12594,676,11170,10637,1340,746,1,1,10212,42,1
Telangana,Suryapet,7152,1406,5746,5746,5568,0,0,0,5747,0,0
Telangana,Warangal,64471,35224,29242,29242,28548,0,4,1,29257,7,4
Punjab,Mansa,6317,169,5963,4958,3256,168,2,15,5362,207,1
Punjab,Moga,5578,528,4865,4723,4306,178,6,1,3957,90,1118
Telangana,Yadadri,1223,342,881,881,879,0,0,0,881,0,1
Punjab,Muktsar,4840,869,3890,3260,3233,72,0,9,3072,0,8
Punjab,Pathankot,66,66,0,0,0,0,0,0,0,0,0
Punjab,Patiala,4444,133,2341,2329,1707,1923,1,46,1801,252,0
Punjab,Rupnagar,2100,72,1703,1513,1252,298,1,26,1172,62,2
Punjab,S.A.S. Nagar (Mohali),2916,10,2393,2346,2180,393,0,120,2091,9,216
Punjab,Sahid Bhgat Singh Nagar,985,13,941,937,894,29,0,2,491,0,0
Punjab,Sangrur,5899,329,4974,4960,4423,567,2,27,4264,64,10
Punjab,Sirhind Fatehgarh Sahib,878,57,577,530,518,2,0,242,529,6,0
Punjab,Tarn Taran,2186,70,1838,1802,1623,276,0,2,985,56,23
Puducherry,Karaikal,3357,4,2163,2161,1769,1151,0,39,323,3,0
Puducherry,Mahe,69,0,68,68,67,1,0,0,64,0,0
Puducherry,Puducherry,5870,756,4538,4394,4310,564,10,2,1388,70,2
Puducherry,Yanam,1,0,0,0,0,0,0,1,0,0,0
Odisha,Anugul,4690,346,4025,4003,3599,313,0,6,697,80,1
Odisha,Balangir,7760,1405,5983,5459,4128,243,2,127,1698,14,2
Odisha,Baleshwar,10084,1038,8243,8217,6250,742,4,57,1920,29,7
Odisha,Bargarh,5576,211,5079,4983,3725,270,4,12,826,14,3
Odisha,Baudhgarh,3198,2,1275,1124,697,1920,0,1,268,6,0
Odisha,Bhadrak,7056,255,6658,6289,2825,139,0,4,1730,330,0
Odisha,Cuttack,14241,162,13666,13541,9397,378,4,31,4826,197,1
Odisha,Debagarh,3241,216,3018,2327,1368,7,0,0,367,18,0
Odisha,Dhenkanal,9547,3560,5852,5003,3823,114,1,20,860,43,6
Odisha,Gajapati,2346,78,2255,1864,1431,12,0,1,567,3,0
Odisha,Ganjam,17540,1440,15637,13133,5983,441,2,20,2654,509,4
Odisha,Jagatsinghapur,7178,160,6965,6949,5180,47,0,6,1465,106,2
Odisha,Jajapur,2649,1072,1566,1547,325,6,3,2,169,2,0
Odisha,Jharsuguda,10987,864,9911,8712,3024,182,2,28,1928,869,8
Odisha,Kalahandi,6710,235,6373,5889,1660,98,2,2,1222,20,0
